handle,category,source_url,note
evolvingai,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI researcher - NEAT creator
giffmana,ai_research,https://twitter.com/i/lists/m08-ai-research,Google AI - Vision
goodfellow_ian,ai_research,https://twitter.com/i/lists/m08-ai-research,Apple/DeepMind - GAN inventor
graham_neubig,ai_research,https://twitter.com/i/lists/m08-ai-research,CMU NLP professor
gwern,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent researcher - AI safety
hamiltonulmer,ai_research,https://twitter.com/i/lists/m08-ai-research,Stanford AI PhD
HugoLarochelle,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Brain/ServiceNow Research
ilyasut,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI Co-founder - Former Chief Scientist
jachiam0,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI researcher
jekbradbury,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Research - JAX
jh_philipp,ai_research,https://twitter.com/i/lists/m08-ai-research,CMU ML researcher
jiwoongim,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI research - Sora team
JohnSchulman2,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI Co-founder - RL expert
jon_barron,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Research - NeRF
jspenguin,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent ML researcher
kaifulee,ai_research,https://twitter.com/i/lists/m08-ai-research,01.AI founder - Former Google China
kchonyc,ai_research,https://twitter.com/i/lists/m08-ai-research,UC Berkeley AI researcher
kentonl,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Brain - BERT researcher
kevinxzli,ai_research,https://twitter.com/i/lists/m08-ai-research,NVIDIA researcher - Graphics/AI
KirkDBorne,ai_research,https://twitter.com/i/lists/m08-ai-research,Data science/AI influencer
krasserm,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent ML researcher - Bayesian
kyunghyuncho,ai_research,https://twitter.com/i/lists/m08-ai-research,NYU/CIFAR - Attention mechanism
leloykun,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent AI researcher Philippines
lianaconcetto,ai_research,https://twitter.com/i/lists/m08-ai-research,MIT CSAIL PhD - Robotics
lucidrains,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent researcher - Attention variants
MishaLaskin,ai_research,https://twitter.com/i/lists/m08-ai-research,UC Berkeley/NYU RL researcher
MostafaDehghani,ai_research,https://twitter.com/i/lists/m08-ai-research,Google DeepMind - Vision Transformers
mphuget,ai_research,https://twitter.com/i/lists/m08-ai-research,Hugging Face ML Engineer
NathanLBeck,ai_research,https://twitter.com/i/lists/m08-ai-research,Stanford ML researcher
natolambert,ai_research,https://twitter.com/i/lists/m08-ai-research,Former OpenAI - RLHF researcher
NoraDotCodes,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent ML researcher
notesbylex,ai_research,https://twitter.com/i/lists/m08-ai-research,MIT/Meta AI researcher - Robotics
omarsar0,ai_research,https://twitter.com/i/lists/m08-ai-research,DAIR.AI co-founder - Prompt eng
OriolVinyalsML,ai_research,https://twitter.com/i/lists/m08-ai-research,Google DeepMind VP - AlphaGo
poolio,ai_research,https://twitter.com/i/lists/m08-ai-research,OpenAI/Anthropic research - Safety
quocleix,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Brain co-founder
RandomlyWalking,ai_research,https://twitter.com/i/lists/m08-ai-research,ETH Zurich AI researcher
rohanpaul_ai,ai_research,https://twitter.com/i/lists/m08-ai-research,CMU/Meta AI researcher
RonanPelgrin,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent AI researcher France
rsalakhu,ai_research,https://twitter.com/i/lists/m08-ai-research,Apple/U Toronto - DBN inventor
sedielem,ai_research,https://twitter.com/i/lists/m08-ai-research,Mistral AI researcher
sergeykarayev,ai_research,https://twitter.com/i/lists/m08-ai-research,Former DeepMind - AI educator
sh_reya,ai_research,https://twitter.com/i/lists/m08-ai-research,Stanford NLP PhD
soumithchintala,ai_research,https://twitter.com/i/lists/m08-ai-research,Meta AI - PyTorch co-creator
stanfordnlp,ai_research,https://twitter.com/i/lists/m08-ai-research,Stanford NLP Group official
suchenzang,ai_research,https://twitter.com/i/lists/m08-ai-research,NYU ML researcher
TacoCohen,ai_research,https://twitter.com/i/lists/m08-ai-research,Qualcomm AI Research - Geometric DL
tdietterich,ai_research,https://twitter.com/i/lists/m08-ai-research,Oregon State AI professor - AAAI Fellow
